project,access,cc,is_constructor,method_fen,class_name,method_name,params_types,file,line_number,coverage_status,full_coverage,not_full_reasons,line_cov_summary,instr_cov_summary,branch_cov_summary,tests,calls
lang3.20,public,12,False,org.apache.commons.lang3.ArrayUtils.toMap(Object[]),org.apache.commons.lang3.ArrayUtils,toMap,Object[],org/apache/commons/lang3/ArrayUtils.java,8898,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,12,False,org.apache.commons.lang3.ArrayUtils.toPrimitive(Object),org.apache.commons.lang3.ArrayUtils,toPrimitive,Object,org/apache/commons/lang3/ArrayUtils.java,9414,"coverage-error:unclosed token: line 1, column 2342906",False,"status=coverage-error:unclosed token: line 1, column 2342906",% (/),% (/),% (/),,
lang3.20,package-private,12,False,"org.apache.commons.lang3.CharSequenceUtils.lastIndexOf(CharSequence,int,int)",org.apache.commons.lang3.CharSequenceUtils,lastIndexOf,"CharSequence,int,int",org/apache/commons/lang3/CharSequenceUtils.java,245,ok,False,line_not_full;instr_not_full;branch_not_full,93.2% (55/59),94.4% (204/216),86.7% (52/60),23,22
lang3.20,public,12,False,"org.apache.commons.lang3.reflect.MethodUtils.getAnnotation(Method,Class<A>,boolean,boolean)",org.apache.commons.lang3.reflect.MethodUtils,getAnnotation,"Method,Class<A>,boolean,boolean",org/apache/commons/lang3/reflect/MethodUtils.java,265,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,12,False,org.apache.commons.lang3.reflect.TypeUtils.containsTypeVariables(Type),org.apache.commons.lang3.reflect.TypeUtils,containsTypeVariables,Type,org/apache/commons/lang3/reflect/TypeUtils.java,373,ok,False,line_not_full;instr_not_full;branch_not_full,80.0% (12/15),77.9% (60/77),65.0% (13/20),3,2
lang3.20,public,12,False,"org.apache.commons.lang3.reflect.TypeUtils.unrollVariables(Map<TypeVariable<?>,Type>,Type)",org.apache.commons.lang3.reflect.TypeUtils,unrollVariables,"Map<TypeVariable<?>,Type>,Type",org/apache/commons/lang3/reflect/TypeUtils.java,1660,ok,False,line_not_full;instr_not_full;branch_not_full,18.2% (4/22),10.0% (9/90),18.8% (3/16),0,0
lang3.20,public,12,False,org.apache.commons.lang3.text.ExtendedMessageFormat.applyPattern(String),org.apache.commons.lang3.text.ExtendedMessageFormat,applyPattern,String,org/apache/commons/lang3/text/ExtendedMessageFormat.java,179,ok,False,line_not_full;instr_not_full;branch_not_full,8.3% (4/48),5.3% (11/206),4.0% (1/25),17,0
lang3.20,private,12,False,"org.apache.commons.lang3.time.DateUtils.getFragment(Calendar,int,TimeUnit)",org.apache.commons.lang3.time.DateUtils,getFragment,"Calendar,int,TimeUnit",org/apache/commons/lang3/time/DateUtils.java,411,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,public,11,False,"org.apache.commons.lang3.StringUtils.repeat(String,int)",org.apache.commons.lang3.StringUtils,repeat,"String,int",org/apache/commons/lang3/StringUtils.java,6064,ok,False,line_not_full;instr_not_full;branch_not_full,96.7% (29/30),95.5% (128/134),92.0% (23/25),14,15
lang3.20,private,11,False,"org.apache.commons.lang3.StringUtils.splitByWholeSeparatorWorker(String,String,int,boolean)",org.apache.commons.lang3.StringUtils,splitByWholeSeparatorWorker,"String,String,int,boolean",org/apache/commons/lang3/StringUtils.java,7354,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,public,11,False,"org.apache.commons.lang3.function.Failable.tryWithResources(FailableRunnable<?extends Throwable>,FailableConsumer<Throwable,?extends Throwable>,FailableRunnable<?extends Throwable>[])",org.apache.commons.lang3.function.Failable,tryWithResources,"FailableRunnable<?extends Throwable>,FailableConsumer<Throwable,?extends Throwable>,FailableRunnable<?extends Throwable>[]",org/apache/commons/lang3/function/Failable.java,629,ok,False,line_not_full;instr_not_full;branch_not_full,83.3% (20/24),88.1% (59/67),80.0% (8/10),66,7
lang3.20,public,11,False,org.apache.commons.lang3.math.NumberUtils.createBigInteger(String),org.apache.commons.lang3.math.NumberUtils,createBigInteger,String,org/apache/commons/lang3/math/NumberUtils.java,181,ok,False,instr_not_full;branch_not_full,100.0% (24/24),96.6% (84/87),95.0% (19/20),0,0
lang3.20,private,11,False,org.apache.commons.lang3.reflect.MethodUtils.getAllSuperclassesAndInterfaces(Class<?>),org.apache.commons.lang3.reflect.MethodUtils,getAllSuperclassesAndInterfaces,Class<?>,org/apache/commons/lang3/reflect/MethodUtils.java,223,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,public,11,False,"org.apache.commons.lang3.reflect.MethodUtils.getOverrideHierarchy(Method,Interfaces)",org.apache.commons.lang3.reflect.MethodUtils,getOverrideHierarchy,"Method,Interfaces",org/apache/commons/lang3/reflect/MethodUtils.java,501,ok,False,line_not_full;instr_not_full;branch_not_full,66.7% (16/24),59.3% (54/91),50.0% (5/10),74,2
